Fecha.DOF|TC
01/01/2006|N/E
02/01/2006|10.6344
03/01/2006|10.6253
04/01/2006|10.6455
05/01/2006|10.5815
06/01/2006|10.5907
07/01/2006|N/E
08/01/2006|N/E
09/01/2006|10.5726
10/01/2006|10.5446
11/01/2006|10.5990
12/01/2006|10.6097
13/01/2006|10.5732
14/01/2006|N/E
15/01/2006|N/E
16/01/2006|10.5752
17/01/2006|10.5590
18/01/2006|10.5372
19/01/2006|10.5778
20/01/2006|10.5589
21/01/2006|N/E
22/01/2006|N/E
23/01/2006|10.5078
24/01/2006|10.5208
25/01/2006|10.5063
26/01/2006|10.5004
27/01/2006|10.5039
28/01/2006|N/E
29/01/2006|N/E
30/01/2006|10.4598
31/01/2006|10.4416
01/02/2006|10.4433
02/02/2006|10.4303
03/02/2006|10.4805
04/02/2006|N/E
05/02/2006|N/E
06/02/2006|N/E
07/02/2006|10.4981
08/02/2006|10.4758
09/02/2006|10.5277
10/02/2006|10.4803
11/02/2006|N/E
12/02/2006|N/E
13/02/2006|10.4870
14/02/2006|10.5258
15/02/2006|10.5249
16/02/2006|10.5170
17/02/2006|10.5175
18/02/2006|N/E
19/02/2006|N/E
20/02/2006|10.4528
21/02/2006|10.4401
22/02/2006|10.4388
23/02/2006|10.4990
24/02/2006|10.4885
25/02/2006|N/E
26/02/2006|N/E
27/02/2006|10.4761
28/02/2006|10.4661
01/03/2006|10.4560
02/03/2006|10.4673
03/03/2006|10.5113
04/03/2006|N/E
05/03/2006|N/E
06/03/2006|10.5759
07/03/2006|10.6118
08/03/2006|10.7003
09/03/2006|10.7560
10/03/2006|10.7094
11/03/2006|N/E
12/03/2006|N/E
13/03/2006|10.7125
14/03/2006|10.7126
15/03/2006|10.6942
16/03/2006|10.6667
17/03/2006|10.6212
18/03/2006|N/E
19/03/2006|N/E
20/03/2006|10.6885
21/03/2006|N/E
22/03/2006|10.7568
23/03/2006|10.8628
24/03/2006|10.8612
25/03/2006|N/E
26/03/2006|N/E
27/03/2006|10.8568
28/03/2006|10.9329
29/03/2006|10.9633
30/03/2006|10.9510
31/03/2006|10.9228
01/04/2006|N/E
02/04/2006|N/E
03/04/2006|10.8935
04/04/2006|10.8717
05/04/2006|10.8548
06/04/2006|10.9467
07/04/2006|11.0557
08/04/2006|N/E
09/04/2006|N/E
10/04/2006|11.1443
11/04/2006|11.0956
12/04/2006|11.0708
13/04/2006|N/E
14/04/2006|N/E
15/04/2006|N/E
16/04/2006|N/E
17/04/2006|11.0477
18/04/2006|11.0842
19/04/2006|11.0011
20/04/2006|10.9773
21/04/2006|11.0302
22/04/2006|N/E
23/04/2006|N/E
24/04/2006|11.0667
25/04/2006|11.0656
26/04/2006|11.0842
27/04/2006|11.1578
28/04/2006|11.1135
29/04/2006|N/E
30/04/2006|N/E
01/05/2006|N/E
02/05/2006|11.0903
03/05/2006|11.0323
04/05/2006|10.9608
05/05/2006|10.9694
06/05/2006|N/E
07/05/2006|N/E
08/05/2006|10.9587
09/05/2006|10.9381
10/05/2006|10.9258
11/05/2006|10.8425
12/05/2006|10.8381
13/05/2006|N/E
14/05/2006|N/E
15/05/2006|11.0325
16/05/2006|11.1532
17/05/2006|11.0518
18/05/2006|11.1330
19/05/2006|11.2005
20/05/2006|N/E
21/05/2006|N/E
22/05/2006|11.1915
23/05/2006|11.2799
24/05/2006|11.1935
25/05/2006|11.2854
26/05/2006|11.2097
27/05/2006|N/E
28/05/2006|N/E
29/05/2006|11.1373
30/05/2006|11.1303
31/05/2006|11.2693
01/06/2006|11.2966
02/06/2006|11.2843
03/06/2006|N/E
04/06/2006|N/E
05/06/2006|11.2970
06/06/2006|11.2854
07/06/2006|11.3667
08/06/2006|11.3250
09/06/2006|11.4190
10/06/2006|N/E
11/06/2006|N/E
12/06/2006|11.3777
13/06/2006|11.3827
14/06/2006|11.4327
15/06/2006|11.4527
16/06/2006|11.4113
17/06/2006|N/E
18/06/2006|N/E
19/06/2006|11.4140
20/06/2006|11.4459
21/06/2006|11.4809
22/06/2006|11.4441
23/06/2006|11.4405
24/06/2006|N/E
25/06/2006|N/E
26/06/2006|11.4382
27/06/2006|11.4090
28/06/2006|11.4302
29/06/2006|11.3973
30/06/2006|11.4009
01/07/2006|N/E
02/07/2006|N/E
03/07/2006|11.2723
04/07/2006|11.1302
05/07/2006|11.0642
06/07/2006|11.1901
07/07/2006|11.1061
08/07/2006|N/E
09/07/2006|N/E
10/07/2006|11.0243
11/07/2006|10.9547
12/07/2006|11.0095
13/07/2006|11.0303
14/07/2006|11.0523
15/07/2006|N/E
16/07/2006|N/E
17/07/2006|11.0275
18/07/2006|10.9914
19/07/2006|10.9618
20/07/2006|10.9045
21/07/2006|10.8708
22/07/2006|N/E
23/07/2006|N/E
24/07/2006|10.8954
25/07/2006|10.9303
26/07/2006|10.9148
27/07/2006|10.9337
28/07/2006|10.8968
29/07/2006|N/E
30/07/2006|N/E
